Hindi,English
जैसा,As
मैं,I
उसके,his
कि,That
वह,He
था,Was
के लिए,for
पर,On
हैं,Huh
साथ,with
वे,They
हो,Ho
पर,On
एक,One
है,is
इस,this
से,From
द्वारा,by
गरम,hot
शब्द,word
लेकिन,but
क्या,what
कुछ,some
है,is
यह,this
आप,you
या,or
था,Was
की,Of
तक,till
और,And
एक,One
में,In
हम,We
कर सकते हैं,can do
बाहर,outside
अन्य,other
थे,Were
जो,that
कर,Tax
उनके,Their
समय,Time
अगर,if
होगा,Will happen
कैसे,how
कहा,said
एक,One
प्रत्येक,Everyone
बता,Tell
करता है,Does
सेट,Set
तीन,three
चाहते हैं,Want
हवा,air
अच्छी तरह से,properly
भी,Too
खेलने,Play
छोटे,Small
अंत,the ending
डाल,Branch
घर,House
पढ़ा,Read
हाथ,hand
बंदरगाह,Harbour
बड़ा,big
जादू,Magic
जोड़,Joint
और भी,and also
भूमि,Earth
यहाँ,here
चाहिए,needed
बड़ा,big
उच्च,High
ऐसा,Like this
का पालन करें,Follow
अधिनियम,Act
क्यों,Why
पूछना,ask
पुरुषों,Men
परिवर्तन,Change
चला गया,gone
प्रकाश,Light
तरह,Kind
बंद,Close
आवश्यकता,requirement
घर,House
तस्वीर,Photo
कोशिश,try
हमें,Us
फिर,Again
पशु,Animal
बिंदु,Point
मां,Mother
दुनिया,world
निकट,Close
बनाना,to make
आत्म,Self
पृथ्वी,Earth
पिता,Father
किसी भी,any
नई,New
काम,work
हिस्सा,Part
लेना,to take
प्राप्त,get
जगह,place
निर्मित,Made
जीना,Live
जहां,where
के बाद,after
वापस,back
थोड़ा,Little
केवल,In college
दौर,Round
आदमी,man
वर्ष,The year
आया,He Came
शो,Show
हर,every
अच्छा,good
मुझे,me
दे,Give
हमारे,our
नीचे,bottom
नाम,Name
बहुत,very
के माध्यम से,Through this
बस,enough
फार्म,Farm
वाक्य,Sentence
महान,great
लगता है,looks like
कहना,tell
मदद,help
कम,Less
रेखा,Line
अलग,Apart
बारी,Turn
कारण,reason
ज्यादा,more
मतलब,meaning
पहले,first
चाल,Trick
सही,right
लड़का,Boy
पुराना,old
भी,Too
वही,the same
वह,He
सब,All
वहाँ,there
जब,when
ऊपर,up
उपयोग,Use
अपने,Ours
रास्ता,way
के बारे में,about
कई,many
तो,so
उन्हें,them
लिखना,To write
होगा,Will happen
जैसा,As
तो,so
इन,In
